,has_null,wave,gender,age,age_o,d_age,race,same_race,importance_same_race,importance_same_religion,field,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_o,sincere_o,intelligence_o,funny_o,ambitous_o,shared_interests_o,attractive_important,sincere_important,intelligence_important,funny_important,ambition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,interests_correlate,expected_happy_with_sd_people,expected_num_interested_in_me,expected_num_matches,like,guess_prob_liked,met,decision,decision_o,match
32,0,1,female,23.0,22.0,1,european/caucasian-american,0,1.0,1.0,law,19.0,18.0,19.0,18.0,14.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,8.0,9.0,7.0,8.0,4.0,7.0,8.0,8.0,6.0,7.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,0.05,1.0,2.0,2.0,4.0,1.0,0.0,0,1,0
33,0,1,female,23.0,23.0,0,european/caucasian-american,1,1.0,1.0,law,30.0,5.0,15.0,40.0,5.0,5.0,7.0,7.0,7.0,9.0,9.0,9.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,8.0,9.0,7.0,8.0,8.0,10.0,7.0,10.0,7.0,10.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,-0.18,1.0,2.0,2.0,8.0,10.0,1.0,1,1,1
34,0,1,female,23.0,24.0,1,european/caucasian-american,0,1.0,1.0,law,30.0,10.0,20.0,10.0,10.0,20.0,8.0,8.0,9.0,8.0,8.0,9.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,8.0,9.0,7.0,8.0,6.0,9.0,8.0,9.0,8.0,9.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,0.21,1.0,2.0,2.0,7.0,7.0,0.0,0,1,0
35,0,1,female,23.0,25.0,2,european/caucasian-american,1,1.0,1.0,law,50.0,0.0,30.0,10.0,0.0,10.0,6.0,6.0,7.0,7.0,8.0,7.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,8.0,9.0,7.0,8.0,5.0,10.0,8.0,4.0,8.0,2.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,0.37,1.0,2.0,2.0,4.0,3.0,0.0,0,1,0
36,0,1,female,23.0,30.0,7,european/caucasian-american,1,1.0,1.0,law,35.0,15.0,25.0,10.0,5.0,10.0,7.0,6.0,3.0,5.0,6.0,5.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,8.0,9.0,7.0,8.0,7.0,10.0,10.0,7.0,10.0,5.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,0.35,1.0,2.0,2.0,5.0,1.0,0.0,0,1,0
37,0,1,female,23.0,27.0,4,european/caucasian-american,1,1.0,1.0,law,33.33,11.11,11.11,11.11,11.11,22.22,6.0,7.0,8.0,6.0,6.0,5.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,8.0,9.0,7.0,8.0,5.0,9.0,9.0,5.0,9.0,7.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,0.15,1.0,2.0,2.0,6.0,6.0,0.0,0,0,0
38,0,1,female,23.0,28.0,5,european/caucasian-american,1,1.0,1.0,law,50.0,0.0,25.0,10.0,0.0,15.0,7.0,7.0,7.0,10.0,9.0,10.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,8.0,9.0,7.0,8.0,9.0,8.0,10.0,10.0,7.0,8.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,-0.47,1.0,2.0,2.0,8.0,8.0,0.0,1,1,1
39,0,1,female,23.0,24.0,1,european/caucasian-american,1,1.0,1.0,law,100.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,8.0,7.0,8.0,7.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,8.0,9.0,7.0,8.0,8.0,9.0,10.0,10.0,8.0,8.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,-0.19,1.0,2.0,2.0,10.0,8.0,0.0,1,0,0
50,0,1,female,23.0,27.0,4,asian/pacific islander/asian-american,0,1.0,1.0,law,35.0,20.0,20.0,20.0,0.0,5.0,7.0,9.0,8.0,9.0,8.0,4.0,10.0,25.0,20.0,25.0,5.0,15.0,5.0,7.0,8.0,9.0,5.0,6.0,9.0,7.0,6.0,7.0,6.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,0.33,4.0,3.0,4.0,6.0,6.0,0.0,1,0,0
51,0,1,female,23.0,22.0,1,asian/pacific islander/asian-american,0,1.0,1.0,law,60.0,0.0,0.0,40.0,0.0,0.0,6.0,8.0,10.0,6.0,7.0,6.0,10.0,25.0,20.0,25.0,5.0,15.0,5.0,7.0,8.0,9.0,5.0,6.0,9.0,9.0,6.0,8.0,2.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,0.37,4.0,3.0,4.0,7.0,6.0,0.0,1,0,0
52,0,1,female,23.0,22.0,1,asian/pacific islander/asian-american,1,1.0,1.0,law,19.0,18.0,19.0,18.0,14.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,25.0,20.0,25.0,5.0,15.0,5.0,7.0,8.0,9.0,5.0,4.0,7.0,9.0,4.0,3.0,2.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,-0.51,4.0,3.0,4.0,6.0,2.0,1.0,0,1,0
53,0,1,female,23.0,23.0,0,asian/pacific islander/asian-american,0,1.0,1.0,law,30.0,5.0,15.0,40.0,5.0,5.0,6.0,8.0,8.0,7.0,9.0,8.0,10.0,25.0,20.0,25.0,5.0,15.0,5.0,7.0,8.0,9.0,5.0,8.0,6.0,7.0,8.0,2.0,8.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,0.12,4.0,3.0,4.0,9.0,4.0,0.0,1,1,1
54,0,1,female,23.0,24.0,1,asian/pacific islander/asian-american,0,1.0,1.0,law,30.0,10.0,20.0,10.0,10.0,20.0,9.0,7.0,9.0,7.0,9.0,6.0,10.0,25.0,20.0,25.0,5.0,15.0,5.0,7.0,8.0,9.0,5.0,5.0,4.0,8.0,8.0,4.0,2.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,0.35,4.0,3.0,4.0,4.0,3.0,1.0,0,1,0
55,0,1,female,23.0,25.0,2,asian/pacific islander/asian-american,0,1.0,1.0,law,50.0,0.0,30.0,10.0,0.0,10.0,6.0,6.0,8.0,8.0,8.0,7.0,10.0,25.0,20.0,25.0,5.0,15.0,5.0,7.0,8.0,9.0,5.0,3.0,7.0,6.0,1.0,1.0,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,0.19,4.0,3.0,4.0,2.0,2.0,0.0,0,1,0
56,0,1,female,23.0,30.0,7,asian/pacific islander/asian-american,0,1.0,1.0,law,35.0,15.0,25.0,10.0,5.0,10.0,5.0,6.0,8.0,4.0,5.0,4.0,10.0,25.0,20.0,25.0,5.0,15.0,5.0,7.0,8.0,9.0,5.0,8.0,8.0,8.0,8.0,3.0,4.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,0.47,4.0,3.0,4.0,8.0,7.0,0.0,1,0,0
57,0,1,female,23.0,27.0,4,asian/pacific islander/asian-american,0,1.0,1.0,law,33.33,11.11,11.11,11.11,11.11,22.22,6.0,7.0,8.0,7.0,8.0,5.0,10.0,25.0,20.0,25.0,5.0,15.0,5.0,7.0,8.0,9.0,5.0,4.0,8.0,9.0,2.0,8.0,3.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,0.03,4.0,3.0,4.0,5.0,5.0,0.0,0,0,0
58,0,1,female,23.0,28.0,5,asian/pacific islander/asian-american,0,1.0,1.0,law,50.0,0.0,25.0,10.0,0.0,15.0,6.0,7.0,7.0,6.0,6.0,6.0,10.0,25.0,20.0,25.0,5.0,15.0,5.0,7.0,8.0,9.0,5.0,7.0,6.0,8.0,8.0,6.0,9.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,0.46,4.0,3.0,4.0,9.0,6.0,0.0,1,1,1
59,0,1,female,23.0,24.0,1,asian/pacific islander/asian-american,0,1.0,1.0,law,100.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,10.0,6.0,10.0,7.0,10.0,25.0,20.0,25.0,5.0,15.0,5.0,7.0,8.0,9.0,5.0,8.0,9.0,9.0,9.0,10.0,7.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,0.43,4.0,3.0,4.0,9.0,8.0,0.0,1,0,0
60,0,1,female,22.0,27.0,5,asian/pacific islander/asian-american,0,2.0,4.0,law,35.0,20.0,20.0,20.0,0.0,5.0,7.0,8.0,8.0,8.0,7.0,7.0,15.0,15.0,25.0,20.0,15.0,10.0,6.0,6.0,5.0,7.0,7.0,4.0,8.0,8.0,5.0,7.0,4.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,0.19,7.0,3.0,2.0,7.0,4.0,0.0,0,0,0
61,0,1,female,22.0,22.0,0,asian/pacific islander/asian-american,0,2.0,4.0,law,60.0,0.0,0.0,40.0,0.0,0.0,7.0,9.0,10.0,6.0,6.0,5.0,15.0,15.0,25.0,20.0,15.0,10.0,6.0,6.0,5.0,7.0,7.0,6.0,6.0,8.0,4.0,9.0,4.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,0.21,7.0,3.0,2.0,7.0,3.0,1.0,0,1,0
62,0,1,female,22.0,22.0,0,asian/pacific islander/asian-american,1,2.0,4.0,law,19.0,18.0,19.0,18.0,14.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,15.0,15.0,25.0,20.0,15.0,10.0,6.0,6.0,5.0,7.0,7.0,3.0,6.0,8.0,7.0,8.0,8.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,0.52,7.0,3.0,2.0,7.0,8.0,1.0,0,1,0
63,0,1,female,22.0,23.0,1,asian/pacific islander/asian-american,0,2.0,4.0,law,30.0,5.0,15.0,40.0,5.0,5.0,8.0,8.0,9.0,8.0,9.0,9.0,15.0,15.0,25.0,20.0,15.0,10.0,6.0,6.0,5.0,7.0,7.0,7.0,8.0,8.0,7.0,7.0,6.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,-0.46,7.0,3.0,2.0,8.0,6.0,1.0,1,1,1
64,0,1,female,22.0,24.0,2,asian/pacific islander/asian-american,0,2.0,4.0,law,30.0,10.0,20.0,10.0,10.0,20.0,8.0,7.0,9.0,6.0,9.0,5.0,15.0,15.0,25.0,20.0,15.0,10.0,6.0,6.0,5.0,7.0,7.0,4.0,7.0,7.0,4.0,8.0,5.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,-0.27,7.0,3.0,2.0,5.0,6.0,1.0,0,1,0
65,0,1,female,22.0,25.0,3,asian/pacific islander/asian-american,0,2.0,4.0,law,50.0,0.0,30.0,10.0,0.0,10.0,8.0,8.0,8.0,6.0,6.0,6.0,15.0,15.0,25.0,20.0,15.0,10.0,6.0,6.0,5.0,7.0,7.0,4.0,8.0,7.0,4.0,5.0,4.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,0.59,7.0,3.0,2.0,5.0,5.0,0.0,0,1,0
66,0,1,female,22.0,30.0,8,asian/pacific islander/asian-american,0,2.0,4.0,law,35.0,15.0,25.0,10.0,5.0,10.0,7.0,6.0,5.0,4.0,4.0,3.0,15.0,15.0,25.0,20.0,15.0,10.0,6.0,6.0,5.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,0.31,7.0,3.0,2.0,8.0,7.0,0.0,1,0,0
67,0,1,female,22.0,27.0,5,asian/pacific islander/asian-american,0,2.0,4.0,law,33.33,11.11,11.11,11.11,11.11,22.22,8.0,7.0,6.0,7.0,7.0,5.0,15.0,15.0,25.0,20.0,15.0,10.0,6.0,6.0,5.0,7.0,7.0,5.0,7.0,8.0,5.0,9.0,5.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,0.08,7.0,3.0,2.0,5.0,7.0,0.0,0,1,0
68,0,1,female,22.0,28.0,6,asian/pacific islander/asian-american,0,2.0,4.0,law,50.0,0.0,25.0,10.0,0.0,15.0,9.0,7.0,9.0,9.0,9.0,10.0,15.0,15.0,25.0,20.0,15.0,10.0,6.0,6.0,5.0,7.0,7.0,6.0,6.0,8.0,8.0,8.0,6.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,-0.34,7.0,3.0,2.0,6.0,6.0,0.0,1,1,1
69,0,1,female,22.0,24.0,2,asian/pacific islander/asian-american,0,2.0,4.0,law,100.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,8.0,6.0,8.0,7.0,15.0,15.0,25.0,20.0,15.0,10.0,6.0,6.0,5.0,7.0,7.0,8.0,6.0,7.0,7.0,8.0,6.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,-0.16,7.0,3.0,2.0,7.0,5.0,0.0,1,0,0
80,0,1,female,26.0,27.0,1,other,0,1.0,1.0,masters in public administration,35.0,20.0,20.0,20.0,0.0,5.0,6.0,8.0,7.0,8.0,7.0,5.0,20.0,10.0,20.0,30.0,10.0,10.0,7.0,6.0,10.0,7.0,7.0,8.0,10.0,9.0,8.0,7.0,6.0,4.0,3.0,1.0,8.0,6.0,7.0,2.0,2.0,10.0,8.0,8.0,10.0,10.0,9.0,9.0,8.0,3.0,0.19,6.0,15.0,1.0,5.0,5.0,0.0,1,0,0
81,0,1,female,26.0,22.0,4,other,0,1.0,1.0,masters in public administration,60.0,0.0,0.0,40.0,0.0,0.0,8.0,8.0,10.0,7.0,6.0,5.0,20.0,10.0,20.0,30.0,10.0,10.0,7.0,6.0,10.0,7.0,7.0,10.0,10.0,10.0,10.0,10.0,10.0,4.0,3.0,1.0,8.0,6.0,7.0,2.0,2.0,10.0,8.0,8.0,10.0,10.0,9.0,9.0,8.0,3.0,0.03,6.0,15.0,1.0,10.0,5.0,0.0,1,1,1
82,0,1,female,26.0,22.0,4,other,0,1.0,1.0,masters in public administration,19.0,18.0,19.0,18.0,14.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,20.0,30.0,10.0,10.0,7.0,6.0,10.0,7.0,7.0,5.0,10.0,10.0,6.0,6.0,6.0,4.0,3.0,1.0,8.0,6.0,7.0,2.0,2.0,10.0,8.0,8.0,10.0,10.0,9.0,9.0,8.0,3.0,0.68,6.0,15.0,1.0,8.0,5.0,0.0,1,1,1
